1067,1003,0
1101,940,0
1166,876,0
1173,890,0
1176,858,307
1160,796,351
1139,740,363
1123,738,389
1124,709,400
1109,690,562
1085,647,651
1064,578,748
1051,552,794
1039,526,865
1030,513,894
1021,437,925
969,456,969
955,404,989
940,391,1007
932,390,992
922,387,1004
927,394,1041
912,397,1024
920,476,997
892,559,1020
832,627,1039
793,666,1041
768,708,1024
729,765,1063
651,786,1079
584,834,1037
565,905,1000
547,926,946
550,1005,902
544,1065,852
559,1113,764
554,1170,665
595,1134,604
667,1126,509
724,1120,386
744,1086,360
791,1063,376
825,1020,363
906,979,331
923,955,344
989,932,343
1018,849,325
1057,828,327
1101,759,0
1140,721,322
1146,700,361
1176,643,421
1195,584,484
1180,562,537
1171,521,594
1167,448,648
1140,404,692
1110,381,721
1098,358,712
1092,357,716
1097,374,717
1082,383,711
1079,385,715
1083,395,707
1061,398,708
1065,392,746
1063,384,741
1028,394,751
1035,402,745
1040,404,780
1033,420,803
1027,390,801
1011,401,810
999,394,838
991,402,845
996,400,861
995,399,870
988,392,883
989,406,902
976,401,917
980,397,937
982,408,922
966,393,950
948,407,970
943,404,986
936,410,986
929,421,1029
921,413,1022
918,413,1023
906,430,1038
889,427,1044
895,496,999
889,543,1008
851,592,1019
806,642,1027
752,734,1040
668,767,1059
613,841,1035
593,898,980
583,918,908
579,1003,861
589,1023,819
601,1131,780
586,1135,710
612,1151,635
692,1125,569
752,1111,465
803,1121,382
863,1047,345
909,1070,332
960,1018,315
984,968,318
1017,949,333
1062,929,309
1096,911,0
1127,877,314
1127,827,322
1136,773,386
1107,751,424
1116,716,525
1091,703,578
1084,614,616
1057,608,636
1045,571,686
1028,539,728
1036,517,800
1023,489,851
1000,428,888
980,379,906
947,379,935
940,387,951
929,355,939
918,360,943
926,380,953
913,398,953
911,379,958
903,378,975
906,386,955
904,388,967
883,411,985
882,397,992
874,387,986
873,391,1000
866,380,1006
854,407,1016
860,377,1009
849,399,1014
828,400,1007
841,444,1017
846,490,1003
793,544,1025
765,616,1034
715,660,1003
700,712,990
706,819,963
708,812,908
709,857,863
712,952,789
723,996,684
721,1017,607
709,1064,540
709,1053,475
701,1097,419
700,1114,381
760,1085,371
821,1079,342
861,1000,325
898,954,317
933,922,316
966,876,300
1017,843,312
1064,804,316
1092,790,321
1147,751,0
1194,694,0
1192,646,330
1170,619,380
1154,591,400
1138,528,400
1112,515,364
1116,459,402
1088,400,419
1074,391,404
1063,375,397
1045,380,371
1042,385,371
1036,379,336
1033,366,363
1036,381,373
1025,381,387
1025,386,414
1018,375,424
1010,396,398
1005,379,418
999,391,437
1000,400,475
997,391,465
977,390,515
980,388,518
966,393,530
961,394,555
958,398,566
960,399,568
944,406,588
942,395,598
930,403,602
931,403,611
923,398,627
915,397,633
910,378,649
906,394,639
894,395,675
878,408,687
875,416,708
867,405,714
837,399,736
786,423,768
779,420,818
759,421,888
704,425,917
699,416,915
674,433,929
654,405,933
619,469,964
596,447,947
586,461,947
578,486,959
590,478,957
597,451,943
614,454,951
599,465,969
609,449,983
607,459,985
602,475,978
607,467,974
611,476,981
607,473,986
607,497,993
606,507,980
